title,year,cast,director,genre,description,video,image,category
13 Reasons Why,2017,"Dylan Minnette, Alisha Boe, Katherine Langford, Justin Prentice, Christian Navarro",Thomas Joseph McCarthy,mystery ,"Newcomer Katherine Langford plays the role of Hannah, a young woman who takes her own life. Two weeks after her tragic death, a classmate named Clay finds a mysterious box on his porch. Inside the box are recordings made by Hannah --- on whom Clay had a crush --- in which she explains the 13 reasons why she chose to commit suicide. If Clay decides to listen to the recordings, he will find out if and how he made the list. This intricate and heart-wrenching tale is told through Clay and Hannah's dual narratives.",https://youtu.be/QkT-HIMSrRk,/images/posters/13 Reasons Why.jpg,series
18 Again,2020,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun",Ha Byung Hoon,romance ,A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.,https://www.youtube.com/watch?v=neLAy_Gpc-Y,/images/posters/18 Again.jpg,series
After Life,2019,"Ricky Gervais, Diane Morgan, David Earl, Mandeep Dhillon, Kerry Godliman",Ricky Gervais,comedy ,"Tony had a perfect life -- until his wife Lisa died. After that tragic event, the formerly nice guy changed. After contemplating taking his life, Tony decides he would rather live long enough to punish the world by saying and doing whatever he likes. He thinks of it as a superpower -- not caring about himself or anybody else -- but it ends up being trickier than he envisioned when his friends and family try to save the nice guy that they used to know. Golden Globe winner Ricky Gervais stars in the comedy series, which he also writes and directs.",https://youtu.be/tcrNsIaQkb4,/images/posters/After Life.jpg,series
Along for the Ride,2022,"Emma Pasarow, Andie MacDowell, Kate Bosworth, Belmont Cameli, Dermot Mulroney",Sofia Alvarez,romance ,"During the summer before college, Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on nightly quests to help Auden experience the fun, carefree life she never knew she wanted.",https://youtu.be/A1PTIxYrTVw,/images/posters/Along for the Ride.jpg,movie
American Gods,2017,"Ricky Whittle, Yetide Badaki, Ian McShane, Pablo Schreiber, Bruce Langley",David Slade,mystery ,"Ex-convict Shadow Moon roams a world he doesn't understand, left adrift by the recent, tragic death of his wife. Little does he know his life is about to change after he meets a crafty, charismatic con man named Mr. Wednesday, who offers Shadow a job as his bodyguard. As their journey begins, Shadow encounters a hidden America where magic is real and fear grows over the ascending power of New Gods like Technology and Media. In a grand plan to combat the threat, Mr. Wednesday attempts to unite the Old Gods to defend their existence and rebuild the influence that they've lost, leaving Shadow struggling to accept this new world and his place in it.",https://youtu.be/z6HLeNl8DOs,/images/posters/American Gods.png,series
Another,2012,"Atsushi Abe, Natsumi Takamori, Takurō Kitagawa, Naoko Sakakibara, Hitomi Harada",Tsutomu Mizushima,mystery ,"In 1972, Misaki, a popular student of Yomiyama North Middle School's class 3-3, suddenly died partway through the school year. Devastated by the loss, the students and teacher behaved like Misaki was still alive, leading to a strange presence on the graduation photo. In Spring 1998, Kōichi Sakakibara transfers into Yomiyama's class 3-3, where he meets Mei Misaki, a quiet student whom their classmates and teacher seemingly ignore. The class is soon caught up in a strange phenomenon, in which students and their relatives begin to die in often gruesome ways. Realizing that these deaths are related to the ""Misaki of 1972"", a yearly calamity that has struck most every class 3-3 since 1972, Kōichi and Mei seek to figure out how to stop it before it kills anymore of their classmates or them.",https://youtu.be/_U_57mzfjB4,/images/posters/Another.jpg,anime
Arrival,2016,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Abigail Pniowsky",Denis Villeneuve,mystery,"Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.",https://youtu.be/tFMo3UJ4B4g,/images/posters/Arrival.jpg,movie
Baywatch,2017,"Dwayne Johnson, Zac Efron, Kelly Rohrbach, Alexandra Daddario, David Hasselhoff",Christopher Lennertz,action,"When a dangerous crime wave hits the beach, the legendary Mitch Buchannon leads his elite squad of lifeguards on a mission to prove that you don't have to wear a badge to save the bay. Joined by a trio of hotshot recruits, including former Olympian Matt Brody, they ditch the surf and go deep under cover to take down a ruthless businesswoman whose devious plans threaten the future of the bay.",https://youtu.be/eyKOgnaf0BU,/images/posters/Baywatch.jpg,movie
Betterman,1999,"Kappei Yamaguchi, Kyōko Hikami, Chafurin, Junko Iwao, Houko Kuwashima",Yoshitomo Yonetani,horror ,"The year is 2006, a series of seemingly random terrorist attacks rock the globe. Dubbed ""Algernon"", normal people suffer psychotic breaks and begin murdering everyone around them - often in profoundly disturbing fashion. In the wake of traditional law enforcement's failure to turn up any link between these incidents, a private contractor known as Akamatsu Industries is brought in to explore if Algernon is a disease, an unknown terrorist group, or even more exotic possibilities.",https://youtu.be/rfPxw1_asHc,/images/posters/Betterman.jpg,anime
Black Clover,2017,"Nana Mizuki, Satoshi Hino, Gakuto Kajiwara, Christopher Sabat, Dallas Reid",Tatsuya Yoshihara,fantasy ,"The series focuses on Asta, a young orphan who is left to be raised in an orphanage alongside his fellow orphan, Yuno. While everyone is born with the ability to utilize mana in the form of magical power, Asta, with no magic however, instead focuses on physical strength.",https://youtu.be/bEiQ-sMBwfQ,/images/posters/Black Clover.jpg,anime
Black Lagoon,2006,"Daisuke Namikawa, Megumi Toyoguchi, Tsutomu Isobe, Hiroaki Hirata, Mami Koyama",Sunao Katabuchi,thriller ,"Black Lagoon was released on DVD by Geneon Entertainment from May 22, 2007 to September 18, 2007. Following a 2008 agreement regarding distribution rights, Funimation Entertainment also published the series in the same format on August 19, 2008. The company later released the anime on Blu-ray on November 17, 2015.",https://youtu.be/V0pN6Yhbbrc,/images/posters/Black Lagoon.jpg,anime
Black Summer,2019,"Jaime King, Christine Lee, Justin Chu Cary, Zoe Marlett, Kelsey Flower",John Hyams,horror ,"Set in the ""Z Nation"" universe, this series follows a crack team of special forces as it fights for hope in the darkest hours of the zombie apocalypse.",https://youtu.be/tQA1omPJN24,/images/posters/Black Summer.jpg,series
Black Widow,2021,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz, Olga Kurylenko",Cate Shortland,action,"Natasha Romanoff, aka Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy, and the broken relationships left in her wake long before she became an Avenger.",https://youtu.be/ybji16u608U,/images/posters/Black Widow.jpg,movie
